File,Date,Size,Description
India_andhra-pradesh_asia_2.obf.zip,25.07.2015,9.5,"Map, Roads, POI, Transport, Address data for India andhra-pradesh asia"
India_andhra-pradesh_asia_2.obf.zip,04.11.2015,10.3,"Map, Roads, POI, Transport, Address data for India andhra-pradesh asia"
India_andhra-pradesh_asia_2.obf.zip,01.05.2016,15.3,"Map, Roads, POI, Transport, Address data for India andhra-pradesh asia"
India_andhra-pradesh_asia_2.obf.zip,01.08.2016,17.0,"Map, Roads, POI, Transport, Address data for India andhra-pradesh asia"
India_andhra-pradesh_asia_2.obf.zip,01.10.2016,17.4,"Map, Roads, POI, Transport, Address data for India andhra-pradesh asia"
India_andhra-pradesh_asia_2.obf.zip,01.02.2017,18.0,"Map, Roads, POI, Transport, Address data for India andhra-pradesh asia"
India_andhra-pradesh_asia_2.obf.zip,01.05.2017,20.2,"Map, Roads, POI, Transport, Address data for India andhra-pradesh asia"
India_andhra-pradesh_asia_2.obf.zip,01.08.2017,21.3,"Map, Roads, POI, Transport, Address data for India andhra-pradesh asia"
India_andhra-pradesh_asia_2.obf.zip,01.11.2017,22.8,"Map, Roads, POI, Transport, Address data for India andhra-pradesh asia"
India_andhra-pradesh_asia_2.obf.zip,01.02.2018,24.4,"Map, Roads, POI, Transport, Address data for India andhra-pradesh asia"
India_andhra-pradesh_asia_2.obf.zip,01.05.2018,29.6,"Map, Roads, POI, Transport, Address data for India andhra-pradesh asia"
India_andhra-pradesh_asia_2.obf.zip,01.08.2018,32.7,"Map, Roads, POI, Transport, Address data for India andhra-pradesh asia"
India_andhra-pradesh_asia_2.obf.zip,01.02.2019,35.7,"Map, Roads, POI, Transport, Address data for India andhra-pradesh asia"
India_andhra-pradesh_asia_2.obf.zip,01.05.2019,39.6,"Map, Roads, POI, Transport, Address data for India andhra-pradesh asia"
India_andhra-pradesh_asia_2.obf.zip,01.07.2019,40.0,"Map, Roads, POI, Transport, Address data for India andhra-pradesh asia"
India_andhra-pradesh_asia_2.obf.zip,01.11.2019,42.6,"Map, Roads, POI, Transport, Address data for India andhra-pradesh asia"
India_andhra-pradesh_asia_2.obf.zip,01.02.2020,44.3,"Map, Roads, POI, Transport, Address data for India andhra-pradesh asia"
India_andhra-pradesh_asia_2.obf.zip,01.04.2020,45.9,"Map, Roads, POI, Transport, Address data for India andhra-pradesh asia"
India_andhra-pradesh_asia_2.obf.zip,01.07.2020,50.0,"Map, Roads, POI, Transport, Address data for India andhra-pradesh asia"
India_andhra-pradesh_asia_2.obf.zip,01.11.2020,64.1,"Map, Roads, POI, Transport, Address data for India andhra-pradesh asia"
India_andhra-pradesh_asia_2.obf.zip,01.02.2021,68.1,"Map, Roads, POI, Transport, Address data for India andhra-pradesh asia"
India_andhra-pradesh_asia_2.obf.zip,01.04.2021,68.4,"Map, Roads, POI, Transport, Address data for India andhra-pradesh asia"
India_andhra-pradesh_asia_2.obf.zip,01.11.2021,69.2,"Map, Roads, POI, Transport, Address data for India andhra-pradesh asia"
India_andhra-pradesh_asia_2.obf.zip,01.05.2022,70.5,"Map, Roads, POI, Transport, Address data for India andhra-pradesh asia"
India_andhra-pradesh_asia_2.obf.zip,01.08.2022,71.8,"Map, Roads, POI, Transport, Address data for India andhra-pradesh asia"
India_andhra-pradesh_asia_2.obf.zip,01.11.2022,80.4,"Map, Roads, POI, Transport, Address data for India andhra-pradesh asia"
India_andhra-pradesh_asia_2.obf.zip,01.02.2023,72.9,"Map, Roads, POI, Transport, Address data for India andhra-pradesh asia"
India_andhra-pradesh_asia_2.obf.zip,01.08.2023,76.0,"Map, Roads, POI, Transport, Address data for India andhra-pradesh asia"
India_andhra-pradesh_asia_2.obf.zip,01.02.2024,84.0,"Map, Roads, POI, Transport, Address data for India andhra-pradesh asia"
India_andhra-pradesh_asia_2.obf.zip,01.05.2024,91.6,"Map, Roads, POI, Transport, Address data for India andhra-pradesh asia"
India_andhra-pradesh_asia_2.obf.zip,01.11.2024,105.1,"Map, Roads, POI, Transport, Address data for India andhra-pradesh asia"
India_andhra-pradesh_asia_2.obf.zip,01.02.2025,110.3,"Map, Roads, POI, Transport, Address data for India andhra-pradesh asia"
India_andhra-pradesh_asia_2.obf.zip,01.04.2025,112.3,"Map, Roads, POI, Transport, Address data for India andhra-pradesh asia"
India_andhra-pradesh_asia_2.obf.zip,01.08.2025,115.0,"Map, Roads, POI, Transport, Address data for India andhra-pradesh asia"
India_andhra-pradesh_asia_2.obf.zip,01.11.2025,126.3,"Map, Roads, POI, Transport, Address data for India andhra-pradesh asia"
