timestamp,Size_MB
2015-07-25,9.5
2015-11-04,10.3
2016-05-01,15.3
2016-08-01,17.0
2016-10-01,17.4
2017-02-01,18.0
2017-05-01,20.2
2017-08-01,21.3
2017-11-01,22.8
2018-02-01,24.4
2018-05-01,29.6
2018-08-01,32.7
2019-02-01,35.7
2019-05-01,39.6
2019-07-01,40.0
2019-11-01,42.6
2020-02-01,44.3
2020-04-01,45.9
2020-07-01,50.0
2020-11-01,64.1
2021-02-01,68.1
2021-04-01,68.4
2021-11-01,69.2
2022-05-01,70.5
2022-08-01,71.8
2022-11-01,80.4
2023-02-01,72.9
2023-08-01,76.0
2024-02-01,84.0
2024-05-01,91.6
2024-11-01,105.1
2025-02-01,110.3
2025-04-01,112.3
2025-08-01,115.0
2025-11-01,126.3
